education_level,skills,certifications,experience_score,cgpa,career_label
Bachelor,"TensorFlow, NLP, Pytorch",None,9,100,AI Researcher
Master,"Deep Learning, Machine Learning, Python, SQL",Google ML,5.5,100,Data Scientist
Master,"Ethical Hacking, Cybersecurity, Linux",Deep Learning Specialization,4,70,Cybersecurity Analyst
Bachelor,"Python, Pytorch, TensorFlow",AWS Certified,3.5,95,AI Researcher
PhD,"SQL, React, Java",None,6.5,100,Software Engineer
Bachelor,"Cybersecurity, Networking, Linux, Ethical Hacking",Google ML,7.5,100,Cybersecurity Analyst
Master,"Networking, Cybersecurity, Ethical Hacking",AWS Certified,6.5,100,Cybersecurity Analyst
Master,"TensorFlow, Pytorch, NLP",AWS Certified,5,90,AI Researcher
Master,"Networking, Ethical Hacking",Deep Learning Specialization,5,100,Cybersecurity Analyst
Master,"Python, TensorFlow, Pytorch, NLP",AWS Certified,0.5,35,AI Researcher
PhD,"SQL, Java, C++",Deep Learning Specialization,4,70,Software Engineer
Master,"Cybersecurity, Ethical Hacking, Networking",Google ML,2.5,50,Cybersecurity Analyst
Master,"Cybersecurity, Networking",Deep Learning Specialization,4.5,65,Cybersecurity Analyst
Bachelor,"SQL, C++, Java",Deep Learning Specialization,7,100,Software Engineer
Master,"Pytorch, NLP",Deep Learning Specialization,2.5,45,AI Researcher
PhD,"Cybersecurity, Networking",Google ML,3.5,60,Cybersecurity Analyst
PhD,"SQL, Python",None,6,100,Data Scientist
Bachelor,"Linux, Networking, Cybersecurity, Ethical Hacking",None,4.5,80,Cybersecurity Analyst
Master,"SQL, Python, Deep Learning",None,6.5,95,Data Scientist
Bachelor,"Machine Learning, SQL, Python",Deep Learning Specialization,9.5,100,Data Scientist
Bachelor,"SQL, Java, C++, React",None,4.5,90,Software Engineer
Bachelor,"Python, TensorFlow, Pytorch, NLP",Google ML,8,100,AI Researcher
Master,"Machine Learning, Deep Learning, SQL",AWS Certified,6,100,Data Scientist
Master,"TensorFlow, Pytorch, NLP, Python",Deep Learning Specialization,4,100,AI Researcher
Bachelor,"Pytorch, TensorFlow, NLP, Python",Deep Learning Specialization,5,80,AI Researcher
Bachelor,"Python, NLP",Deep Learning Specialization,8.5,100,AI Researcher
Bachelor,"Ethical Hacking, Cybersecurity",Deep Learning Specialization,2.5,60,Cybersecurity Analyst
Master,"Pytorch, NLP",None,3,45,AI Researcher
Bachelor,"NLP, Pytorch, Python",Google ML,6,100,AI Researcher
Bachelor,"SQL, Python",AWS Certified,7,100,Data Scientist
PhD,"Python, SQL",None,7,100,Data Scientist
Bachelor,"Ethical Hacking, Networking, Linux",None,5.5,75,Cybersecurity Analyst
Master,"Deep Learning, Machine Learning, SQL, Python",AWS Certified,6,100,Data Scientist
Bachelor,"TensorFlow, Python, Pytorch",Deep Learning Specialization,6.5,100,AI Researcher
Master,"Networking, Linux, Ethical Hacking",Deep Learning Specialization,5,75,Cybersecurity Analyst
PhD,"NLP, Pytorch",AWS Certified,6.5,100,AI Researcher
Master,"Python, NLP",Google ML,5,100,AI Researcher
Bachelor,"C++, SQL, Java",Google ML,6,100,Software Engineer
PhD,"Linux, Cybersecurity",None,3.5,80,Cybersecurity Analyst
Master,"SQL, Python",AWS Certified,4.5,70,Data Scientist
Master,"C++, React",AWS Certified,9.5,100,Software Engineer
Master,"Networking, Linux",AWS Certified,5.5,80,Cybersecurity Analyst
Master,"NLP, TensorFlow, Python",None,6.5,95,AI Researcher
Master,"Machine Learning, Python",Deep Learning Specialization,4.5,70,Data Scientist
Master,"SQL, Python, Machine Learning",AWS Certified,5,95,Data Scientist
Bachelor,"SQL, Java",AWS Certified,4.5,90,Software Engineer
Master,"SQL, Java, C++, React",AWS Certified,6.5,100,Software Engineer
PhD,"Python, Machine Learning",Google ML,8.5,100,Data Scientist
Master,"React, SQL, Java",Deep Learning Specialization,5,80,Software Engineer
Bachelor,"Pytorch, Python",Deep Learning Specialization,3,75,AI Researcher
PhD,"Python, NLP, TensorFlow, Pytorch",None,7,100,AI Researcher
Master,"Ethical Hacking, Cybersecurity, Linux",None,6,100,Cybersecurity Analyst
Master,"SQL, Deep Learning, Machine Learning",None,2.5,45,Data Scientist
Bachelor,"Python, SQL, Machine Learning",Google ML,5.5,100,Data Scientist
Bachelor,"Python, SQL, Machine Learning",AWS Certified,3.5,60,Data Scientist
Bachelor,"Cybersecurity, Networking, Ethical Hacking",Google ML,2.5,55,Cybersecurity Analyst
Bachelor,"C++, Java, SQL, React",Google ML,3,75,Software Engineer
Bachelor,"Networking, Cybersecurity, Ethical Hacking, Linux",AWS Certified,2,55,Cybersecurity Analyst
Bachelor,"TensorFlow, Pytorch",None,1.5,35,AI Researcher
PhD,"Java, React",Google ML,5,100,Software Engineer
Bachelor,"Python, Pytorch",Deep Learning Specialization,5,70,AI Researcher
Bachelor,"SQL, Deep Learning, Machine Learning, Python",None,8.5,100,Data Scientist
Master,"Machine Learning, Deep Learning, Python",Google ML,6,100,Data Scientist
Master,"C++, React, Java, SQL",None,8.5,100,Software Engineer
Master,"Deep Learning, Python, Machine Learning, SQL",Deep Learning Specialization,6,100,Data Scientist
PhD,"Java, React, C++",None,2,40,Software Engineer
Bachelor,"Java, C++, React, SQL",None,4.5,100,Software Engineer
Master,"Pytorch, Python, TensorFlow, NLP",Google ML,6.5,100,AI Researcher
Master,"Linux, Networking, Ethical Hacking, Cybersecurity",Google ML,6,100,Cybersecurity Analyst
Bachelor,"SQL, Python, Machine Learning, Deep Learning",AWS Certified,1,45,Data Scientist
PhD,"Pytorch, TensorFlow, NLP",Deep Learning Specialization,4,100,AI Researcher
Master,"Ethical Hacking, Networking, Linux",Google ML,3.5,60,Cybersecurity Analyst
Master,"Python, SQL, Machine Learning, Deep Learning",Deep Learning Specialization,3,60,Data Scientist
Master,"Java, SQL",AWS Certified,5.5,100,Software Engineer
Bachelor,"TensorFlow, NLP",Deep Learning Specialization,6.5,100,AI Researcher
Bachelor,"Java, React, SQL, C++",Deep Learning Specialization,6,100,Software Engineer
Master,"Python, Machine Learning",Deep Learning Specialization,0,20,Data Scientist
PhD,"Cybersecurity, Ethical Hacking, Linux, Networking",None,4,95,Cybersecurity Analyst
Master,"TensorFlow, Python",None,3.5,50,AI Researcher
Bachelor,"Deep Learning, Python, Machine Learning, SQL",Deep Learning Specialization,5,100,Data Scientist
Master,"NLP, TensorFlow, Pytorch",None,5.5,100,AI Researcher
PhD,"React, C++",Deep Learning Specialization,5.5,80,Software Engineer
Master,"C++, Java",Deep Learning Specialization,6.5,100,Software Engineer
Bachelor,"Python, NLP, TensorFlow",None,6,100,AI Researcher
Bachelor,"Java, SQL, C++",AWS Certified,1,35,Software Engineer
Master,"Java, React, C++",None,5,100,Software Engineer
Master,"SQL, Deep Learning, Python, Machine Learning",Deep Learning Specialization,8,100,Data Scientist
Bachelor,"Python, Pytorch",None,7,100,AI Researcher
PhD,"React, SQL, Java",Google ML,7.5,100,Software Engineer
Master,"Linux, Ethical Hacking, Cybersecurity, Networking",None,9,100,Cybersecurity Analyst
Master,"NLP, TensorFlow",Google ML,5.5,95,AI Researcher
Master,"Pytorch, TensorFlow, Python",Google ML,5,95,AI Researcher
Bachelor,"TensorFlow, NLP, Pytorch",AWS Certified,2.5,75,AI Researcher
Bachelor,"NLP, Pytorch",Deep Learning Specialization,5,70,AI Researcher
Bachelor,"Java, SQL, C++",Google ML,8.5,100,Software Engineer
Bachelor,"TensorFlow, Pytorch, Python, NLP",AWS Certified,2.5,60,AI Researcher
PhD,"TensorFlow, NLP, Pytorch, Python",Deep Learning Specialization,3,80,AI Researcher
Bachelor,"TensorFlow, Pytorch, NLP, Python",AWS Certified,7.5,100,AI Researcher
PhD,"Python, Deep Learning",Google ML,7,100,Data Scientist
Bachelor,"SQL, Java, React",Google ML,4.5,100,Software Engineer
Master,"Linux, Cybersecurity",Google ML,2,45,Cybersecurity Analyst
Bachelor,"Ethical Hacking, Cybersecurity",Deep Learning Specialization,5.5,100,Cybersecurity Analyst
Master,"Ethical Hacking, Networking",Deep Learning Specialization,2.5,55,Cybersecurity Analyst
PhD,"Ethical Hacking, Networking, Linux",None,7.5,100,Cybersecurity Analyst
Bachelor,"Java, SQL",Google ML,3,75,Software Engineer
Bachelor,"Deep Learning, Machine Learning, SQL",AWS Certified,6.5,100,Data Scientist
Bachelor,"NLP, Python, TensorFlow",AWS Certified,4.5,100,AI Researcher
Bachelor,"Python, Deep Learning, Machine Learning",Deep Learning Specialization,2,55,Data Scientist
Bachelor,"Python, Machine Learning, SQL",None,5,85,Data Scientist
Master,"Ethical Hacking, Linux, Networking, Cybersecurity",None,5,100,Cybersecurity Analyst
Bachelor,"Java, React",Google ML,4.5,100,Software Engineer
Bachelor,"Machine Learning, SQL, Deep Learning",Deep Learning Specialization,4.5,95,Data Scientist
Master,"SQL, Python, Machine Learning, Deep Learning",Deep Learning Specialization,2,65,Data Scientist
Bachelor,"Pytorch, TensorFlow",Deep Learning Specialization,1.5,35,AI Researcher
Master,"C++, Java",Deep Learning Specialization,2,50,Software Engineer
PhD,"NLP, TensorFlow, Pytorch",None,9,100,AI Researcher
Bachelor,"Networking, Cybersecurity, Linux, Ethical Hacking",None,10,100,Cybersecurity Analyst
PhD,"React, C++, Java",AWS Certified,7.5,100,Software Engineer
Master,"React, Java, SQL",Google ML,6.5,100,Software Engineer
Master,"React, C++, Java, SQL",Deep Learning Specialization,6.5,100,Software Engineer
Bachelor,"Java, React",Google ML,3,80,Software Engineer
Bachelor,"Python, TensorFlow, Pytorch, NLP",AWS Certified,3,80,AI Researcher
PhD,"Linux, Networking, Cybersecurity, Ethical Hacking",None,5,100,Cybersecurity Analyst
PhD,"SQL, Java",AWS Certified,5,75,Software Engineer
Master,"Java, C++, React",AWS Certified,8,100,Software Engineer
Bachelor,"SQL, Python",Deep Learning Specialization,5.5,100,Data Scientist
Master,"Machine Learning, Python, Deep Learning, SQL",Deep Learning Specialization,5,100,Data Scientist
Master,"Pytorch, Python",Deep Learning Specialization,1.5,50,AI Researcher
Bachelor,"Linux, Networking, Ethical Hacking, Cybersecurity",AWS Certified,6.5,100,Cybersecurity Analyst
Bachelor,"Python, NLP, Pytorch",Deep Learning Specialization,1.5,55,AI Researcher
Bachelor,"NLP, Python, Pytorch, TensorFlow",AWS Certified,2.5,60,AI Researcher
Bachelor,"Java, C++, SQL",None,1.5,30,Software Engineer
Bachelor,"Ethical Hacking, Networking, Linux, Cybersecurity",Deep Learning Specialization,6,100,Cybersecurity Analyst
PhD,"C++, Java, React, SQL",None,0.5,30,Software Engineer
Bachelor,"TensorFlow, NLP, Python, Pytorch",Deep Learning Specialization,4.5,100,AI Researcher
Bachelor,"Networking, Cybersecurity",None,3.5,80,Cybersecurity Analyst
Master,"Linux, Cybersecurity, Ethical Hacking",None,4.5,80,Cybersecurity Analyst
Master,"Machine Learning, Python, SQL",Google ML,6.5,100,Data Scientist
Master,"Deep Learning, SQL, Python, Machine Learning",None,5.5,95,Data Scientist
Master,"Ethical Hacking, Cybersecurity, Networking, Linux",Google ML,2,65,Cybersecurity Analyst
Bachelor,"Deep Learning, Python, SQL",Google ML,2.5,65,Data Scientist
Bachelor,"Cybersecurity, Ethical Hacking, Linux",Deep Learning Specialization,5.5,100,Cybersecurity Analyst
Bachelor,"SQL, Machine Learning, Deep Learning, Python",None,4,85,Data Scientist
Master,"Networking, Linux, Cybersecurity, Ethical Hacking",Deep Learning Specialization,5,100,Cybersecurity Analyst
Bachelor,"TensorFlow, Pytorch, Python",Google ML,5,100,AI Researcher
